,category_code,category_id
0,electronics.smartphone,2053013555631882655
2,furniture.bathroom.toilet,2053013557418656265
3,electronics.audio.headphone,2053013554658804075
6,appliances.environment.air_heater,2053013552293216471
12,auto.accessories.videoregister,2053013560899928785
18,computers.notebook,2053013558920217191
19,computers.peripherals.printer,2053013552955916539
20,electronics.clocks,2053013553341792533
24,apparel.shoes,2100064855133258156
35,computers.components.hdd,2053013554222596431
45,appliances.kitchen.meat_grinder,2053013555321504139
46,electronics.telephone,2053013555573162395
50,appliances.kitchen.blender,2053013555262783879
56,construction.tools.drill,2053013556252639687
57,accessories.bag,2053013566209917945
66,electronics.video.tv,2053013554415534427
67,electronics.tablet,2053013552695869677
76,appliances.kitchen.washer,2053013563810775923
78,appliances.environment.vacuum,2053013565983425517
94,appliances.environment.water_heater,2053013552326770905
104,appliances.kitchen.refrigerators,2053013563911439225
113,appliances.personal.hair_cutter,2053013563097744201
122,appliances.kitchen.hood,2053013563743667055
128,stationery.cartrige,2053013552737812719
143,furniture.kitchen.table,2053013558316237377
153,apparel.trousers,2110937219005940617
165,appliances.personal.scales,2053013562946749253
170,appliances.kitchen.toster,2053013554960793975
173,kids.fmcg.diapers,2053013556344914381
175,computers.components.memory,2053013554189041997
177,appliances.sewing_machine,2053013566100866035
178,auto.accessories.player,2053013553970938175
206,computers.desktop,2053013559868129947
210,appliances.kitchen.microwave,2053013554776244595
235,appliances.kitchen.coffee_grinder,2053013554725912943
237,appliances.iron,2053013566176363511
263,electronics.camera.video,2053013560530830019
278,appliances.kitchen.mixer,2053013555069845885
299,accessories.wallet,2053013566243472379
305,auto.accessories.radar,2053013560866374351
363,appliances.kitchen.dishwasher,2053013563944993659
395,appliances.kitchen.hob,2053013563877884791
396,furniture.living_room.chair,2053013560312726199
407,apparel.shoes.keds,2053013565069067197
415,appliances.kitchen.oven,2053013564003713919
419,appliances.kitchen.kettle,2053013554834964853
440,furniture.bedroom.bed,2053013557192163841
490,furniture.kitchen.chair,2053013556487520725
501,construction.tools.light,2098563450757186313
525,kids.carriage,2053013560346280633
534,computers.ebooks,2053013553316626707
551,auto.accessories.alarm,2053013560807654091
555,construction.tools.welding,2127425436764865054
559,electronics.audio.acoustic,2053013554499420513
561,kids.skates,2053013555816432043
575,construction.components.faucet,2053013557343158789
613,medicine.tools.tonometer,2053013562292437791
619,appliances.environment.air_conditioner,2053013552351936731
668,computers.peripherals.monitor,2053013553031414015
672,kids.dolls,2053013553224352013
716,construction.tools.saw,2053013556202308035
740,construction.tools.generator,2053013566142809077
745,computers.components.videocards,2053013554247762257
760,electronics.audio.subwoofer,2053013553945772349
819,computers.components.cpu,2053013554121933129
840,apparel.underwear,2070005009382114061
946,computers.components.cooler,2053013563718501229
1012,electronics.audio.music_tools.piano,2053013557603205653
1085,sport.bicycle,2116907525176557699
1162,sport.trainer,2053013564599305123
1435,computers.peripherals.keyboard,2053013552913973497
1443,appliances.kitchen.coffee_machine,2053013555095011711
1519,appliances.ironing_board,2053013566033757167
1525,computers.peripherals.mouse,2053013552888807671
1541,country_yard.cultivator,2053013559985570467
1549,construction.tools.painting,2127425434894205468
1555,computers.components.power_supply,2053013554096767303
1588,appliances.kitchen.juicer,2053013555220840837
1593,electronics.audio.microphone,2053013554474254687
1712,auto.accessories.compressor,2053013560581161671
1816,furniture.living_room.cabinet,2053013557133443581
2094,appliances.kitchen.grill,2053013554751078769
2532,kids.toys,2053013553140465927
2824,construction.tools.pump,2053013560086233771
3045,computers.components.motherboard,2053013554155487563
3416,appliances.kitchen.steam_cooker,2053013555120177537
3519,electronics.video.projector,2053013552570040549
3664,country_yard.lawn_mower,2053013560061067945
3988,furniture.bathroom.bath,2053013557477376525
4681,apparel.tshirt,2097815753423061045
4746,kids.swing,2106075662325383725
4803,furniture.living_room.sofa,2053013559792632471
5322,appliances.personal.massager,2053013565941482475
5506,appliances.environment.fan,2053013552226107603
5760,furniture.bedroom.pillow,2053013561780732677
5920,furniture.bedroom.blanket,2053013561847841545
7191,accessories.umbrella,2094006249627582860
11319,auto.accessories.parktronic,2053013560623104713
12978,apparel.shoes.moccasins,2053013565253616583
14073,computers.peripherals.camera,2053013552502931683
14216,electronics.camera.photo,2053013560497275585
14602,apparel.shoes.slipons,2053013565329114057
29629,apparel.scarf,2069241407767315312
41037,apparel.shirt,2086471240842740173
49136,sport.ski,2053013559348036219
50289,furniture.universal.light,2053013562149831447
58090,auto.accessories.winch,2100065080828756704
90316,sport.snowboard,2053013559440310913
104556,apparel.shorts,2076715364237967901
105984,apparel.shoes.sandals,2136389354015162499
124378,apparel.shoes.ballet_shoes,2053013565857596389
153759,apparel.belt,2053013566277026813
179610,apparel.costume,2146551843914777018
180185,apparel.sock,2127424820051182462
312374,apparel.skirt,2110187395688169553
318294,apparel.jeans,2146660887094624580
333166,apparel.jacket,2110937217663763331
348343,sport.tennis,2134905045253095435
410879,apparel.dress,2146660887002349890
535576,apparel.jumper,2166064855264526831
654999,auto.accessories.anti_freeze,2147123662858224552
664909,apparel.shoes.step_ins,2053013565152953281
735863,apparel.glove,2147123663017608108
930853,country_yard.furniture.hammok,2059484601981600061
1006435,construction.tools.soldering,2150829948548416122
1177499,construction.tools.screw,2187707789055361298
1178324,appliances.kitchen.fryer,2185524688778691138
1208937,sport.diving,2232732120457937908
1209224,apparel.shoes.espadrilles,2232732098303623659
1209243,furniture.living_room.shelving,2060981320481243178
1209931,apparel.pajamas,2053013564918072245
1214263,appliances.environment.climate,2053013552167387343
1217818,computers.components.sound_card,2061717948468297988
1324790,auto.accessories.light,2078957452602114300
2973508,country_yard.furniture.bench,2059484602015154495
4148996,construction.tools.axe,2095518917320508073
4952514,computers.components.cdrw,2110937219442148235
5491164,stationery.paper,2282652065861730868
5571562,electronics.audio.dictaphone,2127424806855902066
