date,apple,samsung,smartphone
2018-01-16 10:00:00,13,29,0
2018-01-16 11:00:00,13,31,0
2018-01-16 12:00:00,15,26,0
2018-01-16 13:00:00,18,25,3
2018-01-16 14:00:00,15,30,0
2018-01-16 15:00:00,15,33,2
2018-01-16 16:00:00,13,32,0
2018-01-16 17:00:00,13,39,0
2018-01-16 18:00:00,14,33,0
2018-01-16 19:00:00,14,34,3
2018-01-16 20:00:00,18,37,0
2018-01-16 21:00:00,15,32,2
2018-01-16 22:00:00,14,28,0
2018-01-16 23:00:00,13,30,0
2018-01-17 00:00:00,20,32,0
2018-01-17 01:00:00,23,0,35
2018-01-17 02:00:00,20,41,43
2018-01-17 03:00:00,36,0,0
2018-01-17 04:00:00,0,0,0
2018-01-17 05:00:00,0,14,0
2018-01-17 06:00:00,13,20,0
2018-01-17 07:00:00,12,10,5
2018-01-17 08:00:00,10,28,0
2018-01-17 09:00:00,17,24,0
2018-01-17 10:00:00,17,25,2
2018-01-17 11:00:00,11,27,3
2018-01-17 12:00:00,16,32,3
2018-01-17 13:00:00,18,35,0
2018-01-17 14:00:00,17,28,0
2018-01-17 15:00:00,16,29,1
2018-01-17 16:00:00,19,31,1
2018-01-17 17:00:00,14,23,1
2018-01-17 18:00:00,16,28,0
2018-01-17 19:00:00,12,32,3
2018-01-17 20:00:00,12,35,2
2018-01-17 21:00:00,9,32,3
2018-01-17 22:00:00,13,24,3
2018-01-17 23:00:00,10,40,0
2018-01-18 00:00:00,16,23,0
2018-01-18 01:00:00,0,27,0
2018-01-18 02:00:00,0,34,0
2018-01-18 03:00:00,0,77,0
2018-01-18 04:00:00,43,0,0
2018-01-18 05:00:00,0,16,0
2018-01-18 06:00:00,0,33,10
2018-01-18 07:00:00,13,21,4
2018-01-18 08:00:00,13,25,5
2018-01-18 09:00:00,18,20,0
2018-01-18 10:00:00,19,27,0
2018-01-18 11:00:00,16,30,0
2018-01-18 12:00:00,16,31,0
2018-01-18 13:00:00,14,32,0
2018-01-18 14:00:00,10,24,0
2018-01-18 15:00:00,8,32,0
2018-01-18 16:00:00,11,27,3
2018-01-18 17:00:00,14,30,3
2018-01-18 18:00:00,17,31,0
2018-01-18 19:00:00,11,40,0
2018-01-18 20:00:00,25,38,2
2018-01-18 21:00:00,18,39,0
2018-01-18 22:00:00,12,30,4
2018-01-18 23:00:00,13,26,0
2018-01-19 00:00:00,7,25,0
2018-01-19 01:00:00,0,29,0
2018-01-19 02:00:00,27,21,0
2018-01-19 03:00:00,0,0,0
2018-01-19 04:00:00,0,0,0
2018-01-19 05:00:00,14,0,0
2018-01-19 06:00:00,23,21,0
2018-01-19 07:00:00,10,21,3
2018-01-19 08:00:00,10,17,0
2018-01-19 09:00:00,8,18,0
2018-01-19 10:00:00,19,22,2
2018-01-19 11:00:00,17,21,0
2018-01-19 12:00:00,14,27,0
2018-01-19 13:00:00,15,30,0
2018-01-19 14:00:00,9,31,5
2018-01-19 15:00:00,15,32,2
2018-01-19 16:00:00,14,34,0
2018-01-19 17:00:00,12,33,0
2018-01-19 18:00:00,13,33,0
2018-01-19 19:00:00,14,38,2
2018-01-19 20:00:00,13,33,6
2018-01-19 21:00:00,16,31,0
2018-01-19 22:00:00,11,29,2
2018-01-19 23:00:00,18,38,4
2018-01-20 00:00:00,11,35,0
2018-01-20 01:00:00,11,43,0
2018-01-20 02:00:00,0,0,0
2018-01-20 03:00:00,25,0,0
2018-01-20 04:00:00,47,46,28
2018-01-20 05:00:00,57,48,56
2018-01-20 06:00:00,20,51,0
2018-01-20 07:00:00,12,28,0
2018-01-20 08:00:00,22,45,0
2018-01-20 09:00:00,10,33,4
2018-01-20 10:00:00,21,31,0
2018-01-20 11:00:00,15,31,0
2018-01-20 12:00:00,11,40,3
2018-01-20 13:00:00,9,38,0
2018-01-20 14:00:00,15,45,2
2018-01-20 15:00:00,21,32,0
2018-01-20 16:00:00,14,31,4
2018-01-20 17:00:00,20,40,0
2018-01-20 18:00:00,21,38,6
2018-01-20 19:00:00,19,34,2
2018-01-20 20:00:00,8,37,0
2018-01-20 21:00:00,14,24,0
2018-01-20 22:00:00,14,33,0
2018-01-20 23:00:00,26,26,3
2018-01-21 00:00:00,12,31,0
2018-01-21 01:00:00,0,38,0
2018-01-21 02:00:00,22,40,0
2018-01-21 03:00:00,0,34,0
2018-01-21 04:00:00,50,45,0
2018-01-21 05:00:00,24,0,0
2018-01-21 06:00:00,0,75,0
2018-01-21 07:00:00,16,21,0
2018-01-21 08:00:00,0,25,0
2018-01-21 09:00:00,7,29,2
2018-01-21 10:00:00,17,31,0
2018-01-21 11:00:00,15,25,0
2018-01-21 12:00:00,12,26,2
2018-01-21 13:00:00,15,30,0
2018-01-21 14:00:00,18,31,0
2018-01-21 15:00:00,13,25,3
2018-01-21 16:00:00,12,29,2
2018-01-21 17:00:00,14,26,0
2018-01-21 18:00:00,13,32,2
2018-01-21 19:00:00,8,30,3
2018-01-21 20:00:00,11,28,4
2018-01-21 21:00:00,10,21,1
2018-01-21 22:00:00,15,22,2
2018-01-21 23:00:00,12,35,4
2018-01-22 00:00:00,13,51,0
2018-01-22 00:00:00,10,36,0
2018-01-22 01:00:00,0,22,11
2018-01-22 02:00:00,18,0,0
2018-01-22 03:00:00,42,23,0
2018-01-22 04:00:00,0,35,29
2018-01-22 05:00:00,0,17,0
2018-01-22 06:00:00,7,6,0
2018-01-22 07:00:00,7,14,0
2018-01-22 08:00:00,10,13,3
2018-01-22 09:00:00,7,15,0
2018-01-22 10:00:00,10,15,0
2018-01-22 11:00:00,10,17,0
2018-01-22 12:00:00,9,17,1
2018-01-22 13:00:00,8,16,0
2018-01-22 14:00:00,10,20,0
2018-01-22 15:00:00,7,19,1
2018-01-22 16:00:00,11,25,0
2018-01-22 17:00:00,9,20,0
2018-01-22 18:00:00,11,19,3
2018-01-22 19:00:00,9,22,2
2018-01-22 20:00:00,10,27,0
2018-01-22 21:00:00,8,20,0
2018-01-22 22:00:00,7,24,0
2018-01-22 23:00:00,12,21,0
2018-01-23 00:00:00,14,17,0
2018-01-23 01:00:00,19,0,12
2018-01-23 02:00:00,0,25,0
2018-01-23 03:00:00,0,0,0
2018-01-23 04:00:00,41,28,0
2018-01-23 05:00:00,0,0,0
2018-01-23 06:00:00,0,12,4
2018-01-23 07:00:00,6,3,4
2018-01-23 08:00:00,13,15,0
2018-01-23 09:00:00,7,18,0
2018-01-23 10:00:00,12,12,0
2018-01-23 11:00:00,6,14,0
2018-01-23 12:00:00,5,16,1
2018-01-23 13:00:00,6,16,0
2018-01-23 14:00:00,10,14,1
2018-01-23 15:00:00,4,16,2
2018-01-23 16:00:00,6,15,0
2018-01-23 17:00:00,12,21,0
2018-01-23 18:00:00,6,15,0
2018-01-23 19:00:00,10,21,2
2018-01-23 20:00:00,13,15,2
2018-01-23 21:00:00,10,19,0
2018-01-23 22:00:00,8,22,3
2018-01-23 23:00:00,11,20,0
2018-01-24 00:00:00,12,27,4
2018-01-24 01:00:00,0,28,0
2018-01-24 02:00:00,0,51,0
2018-01-24 03:00:00,0,0,100
2018-01-24 04:00:00,0,22,0
2018-01-24 05:00:00,0,42,0
2018-01-24 06:00:00,17,14,0
2018-01-24 07:00:00,8,13,0
2018-01-24 08:00:00,8,10,6
2018-01-24 09:00:00,10,11,1
2018-01-24 10:00:00,10,18,1
2018-01-24 11:00:00,6,21,0
2018-01-24 12:00:00,10,22,0
2018-01-24 13:00:00,8,25,0
2018-01-24 14:00:00,6,18,4
2018-01-24 15:00:00,12,18,1
2018-01-24 16:00:00,11,17,0
2018-01-24 17:00:00,10,16,0
2018-01-24 18:00:00,9,21,0
2018-01-24 19:00:00,9,14,4
2018-01-24 20:00:00,7,14,0
2018-01-24 21:00:00,7,16,0
2018-01-24 22:00:00,8,16,0
2018-01-24 23:00:00,8,20,3
2018-01-25 00:00:00,12,18,0
2018-01-25 01:00:00,18,34,0
2018-01-25 02:00:00,0,52,0
2018-01-25 03:00:00,90,35,0
2018-01-25 04:00:00,0,0,21
2018-01-25 05:00:00,16,9,0
2018-01-25 06:00:00,7,11,0
2018-01-25 07:00:00,10,15,0
2018-01-25 08:00:00,12,12,1
2018-01-25 09:00:00,12,14,0
2018-01-25 10:00:00,4,18,0
2018-01-25 11:00:00,8,14,2
2018-01-25 12:00:00,7,16,1
2018-01-25 13:00:00,11,17,1
2018-01-25 14:00:00,8,19,2
2018-01-25 15:00:00,11,20,0
2018-01-25 16:00:00,11,22,0
2018-01-25 17:00:00,9,20,0
2018-01-25 18:00:00,8,17,0
2018-01-25 19:00:00,8,22,0
2018-01-25 20:00:00,6,18,1
2018-01-25 21:00:00,8,16,0
2018-01-25 22:00:00,9,18,0
2018-01-25 23:00:00,7,13,4
2018-01-26 00:00:00,0,17,0
2018-01-26 01:00:00,25,0,0
2018-01-26 02:00:00,17,46,0
2018-01-26 03:00:00,60,62,0
2018-01-26 04:00:00,18,0,0
2018-01-26 05:00:00,0,13,0
2018-01-26 06:00:00,0,3,0
2018-01-26 07:00:00,6,15,2
2018-01-26 08:00:00,8,9,1
2018-01-26 09:00:00,7,14,0
2018-01-26 10:00:00,8,12,0
2018-01-26 11:00:00,9,14,0
2018-01-26 12:00:00,10,16,0
2018-01-26 13:00:00,11,17,0
2018-01-26 14:00:00,11,18,0
2018-01-26 15:00:00,8,19,0
2018-01-26 16:00:00,12,17,0
2018-01-26 17:00:00,10,22,4
2018-01-26 18:00:00,13,16,0
2018-01-26 19:00:00,12,20,0
2018-01-26 20:00:00,7,20,0
2018-01-26 21:00:00,11,20,0
2018-01-26 22:00:00,8,17,7
2018-01-26 23:00:00,12,15,0
2018-01-27 00:00:00,6,16,0
2018-01-27 01:00:00,17,24,0
2018-01-27 02:00:00,0,27,0
2018-01-27 03:00:00,16,23,0
2018-01-27 04:00:00,0,0,0
2018-01-27 05:00:00,14,0,0
2018-01-27 06:00:00,0,25,17
2018-01-27 07:00:00,5,21,18
2018-01-27 08:00:00,16,24,0
2018-01-27 09:00:00,9,15,0
2018-01-27 10:00:00,16,22,2
2018-01-27 11:00:00,12,17,0
2018-01-27 12:00:00,6,19,1
2018-01-27 13:00:00,6,26,5
2018-01-27 14:00:00,7,16,0
2018-01-27 15:00:00,8,20,1
2018-01-27 16:00:00,9,21,2
2018-01-27 17:00:00,14,19,0
2018-01-27 18:00:00,12,16,0
2018-01-27 19:00:00,6,18,0
2018-01-27 20:00:00,8,20,0
2018-01-27 21:00:00,7,15,0
2018-01-27 22:00:00,7,18,2
2018-01-27 23:00:00,11,15,0
2018-01-28 00:00:00,10,11,0
2018-01-28 01:00:00,0,35,5
2018-01-28 02:00:00,0,26,0
2018-01-28 03:00:00,15,28,0
2018-01-28 04:00:00,27,0,0
2018-01-28 05:00:00,13,35,15
2018-01-28 06:00:00,0,18,0
2018-01-28 07:00:00,17,15,0
2018-01-28 08:00:00,4,19,2
2018-01-28 09:00:00,11,20,2
2018-01-28 10:00:00,11,15,0
2018-01-28 11:00:00,14,19,0
2018-01-28 12:00:00,10,15,0
2018-01-28 13:00:00,11,18,3
2018-01-28 14:00:00,5,19,0
2018-01-28 15:00:00,11,21,0
2018-01-28 16:00:00,11,18,2
2018-01-28 17:00:00,9,21,1
2018-01-28 18:00:00,11,17,0
2018-01-28 19:00:00,8,18,0
2018-01-28 20:00:00,9,17,0
2018-01-28 21:00:00,5,13,2
2018-01-28 22:00:00,10,19,1
2018-01-28 23:00:00,9,25,0
2018-01-29 00:00:00,15,10,0
2018-01-29 00:00:00,31,21,0
2018-01-29 01:00:00,0,45,18
2018-01-29 02:00:00,39,0,0
2018-01-29 03:00:00,0,0,0
2018-01-29 04:00:00,0,0,0
2018-01-29 05:00:00,0,0,24
2018-01-29 06:00:00,27,25,0
2018-01-29 07:00:00,0,19,16
2018-01-29 08:00:00,15,18,0
2018-01-29 09:00:00,17,40,6
2018-01-29 10:00:00,26,33,3
2018-01-29 11:00:00,19,32,0
2018-01-29 12:00:00,14,33,3
2018-01-29 13:00:00,29,41,3
2018-01-29 14:00:00,25,51,2
2018-01-29 15:00:00,12,41,0
2018-01-29 16:00:00,15,42,0
2018-01-29 17:00:00,22,37,0
2018-01-29 18:00:00,19,37,0
2018-01-29 19:00:00,14,36,0
2018-01-29 20:00:00,17,44,0
2018-01-29 21:00:00,19,44,0
2018-01-29 22:00:00,17,29,3
2018-01-29 23:00:00,34,43,0
2018-01-30 00:00:00,27,35,0
2018-01-30 01:00:00,26,47,0
2018-01-30 02:00:00,0,35,0
2018-01-30 03:00:00,46,0,0
2018-01-30 04:00:00,0,0,53
2018-01-30 05:00:00,0,52,20
2018-01-30 06:00:00,13,20,0
2018-01-30 07:00:00,17,19,0
2018-01-30 08:00:00,6,34,0
2018-01-30 09:00:00,17,26,0
2018-01-30 10:00:00,15,19,6
2018-01-30 11:00:00,20,41,5
2018-01-30 12:00:00,13,40,0
2018-01-30 13:00:00,22,33,2
2018-01-30 14:00:00,23,36,6
2018-01-30 15:00:00,24,32,12
2018-01-30 16:00:00,13,42,0
2018-01-30 17:00:00,13,34,0
2018-01-30 18:00:00,14,29,0
2018-01-30 19:00:00,15,42,3
2018-01-30 20:00:00,19,46,4
2018-01-30 21:00:00,24,34,0
2018-01-30 22:00:00,19,28,0
2018-01-30 23:00:00,34,33,0
2018-01-31 00:00:00,15,57,0
2018-01-31 01:00:00,27,24,0
2018-01-31 02:00:00,39,0,0
2018-01-31 03:00:00,0,65,0
2018-01-31 04:00:00,0,51,0
2018-01-31 05:00:00,0,0,34
2018-01-31 06:00:00,17,30,12
2018-01-31 07:00:00,10,23,0
2018-01-31 08:00:00,22,19,6
2018-01-31 09:00:00,16,23,4
2018-01-31 10:00:00,16,28,5
2018-01-31 11:00:00,23,30,3
2018-01-31 12:00:00,18,32,17
2018-01-31 13:00:00,20,28,2
2018-01-31 14:00:00,17,39,0
2018-01-31 15:00:00,20,33,0
2018-01-31 16:00:00,15,31,0
2018-01-31 17:00:00,14,31,3
2018-01-31 18:00:00,19,41,2
2018-01-31 19:00:00,15,41,0
2018-01-31 20:00:00,15,36,3
2018-01-31 21:00:00,19,45,2
2018-01-31 22:00:00,17,45,4
2018-01-31 23:00:00,16,49,18
2018-02-01 00:00:00,0,38,11
